;xcfd_grid;ycfd_grid;u_f;v_f;U_mag;flow_angle
6512;4.275;1.375;0.6169;-0.014344;0.6170667389642712;-1.3319867076457232
6513;4.325;1.325;0.61405;-0.014024;0.614210122902578;-1.3083239986120723
6514;4.375;1.325;0.61371;-0.013969;0.6138689575642345;-1.3039164539527524
6515;4.325;1.375;0.61647;-0.014269;0.6166351151702276;-1.325948583101086
6516;4.375;1.375;0.61608;-0.014321;0.6162464259052542;-1.3316210809868476
6517;4.425;1.325;0.61343;-0.014008;0.6135899192164096;-1.308152217605763
6518;4.475;1.325;0.61321;-0.014099;0.6133720615588878;-1.317119573458952
6519;4.425;1.375;0.6158;-0.014444;0.6159693735373537;-1.3436643713639957
6520;4.475;1.375;0.61565;-0.014585;0.6158227380707861;-1.357106575183755
6521;4.525;1.325;0.61308;-0.0142;0.6132444263097708;-1.3268327563176485
6522;4.575;1.325;0.61303;-0.014273;0.6131961345515804;-1.3337600768361761
6523;4.525;1.375;0.61563;-0.014707;0.6158056452721102;-1.3684985851106364
6524;4.575;1.375;0.61571;-0.014778;0.6158873219867413;-1.3749240633197923
6525;4.625;1.325;0.61303;-0.01429;0.6131965304859446;-1.3353480903161286
6526;4.675;1.325;0.61307;-0.014233;0.6132351940234676;-1.3299368196923915
6527;4.625;1.375;0.61589;-0.014769;0.6160670543544754;-1.3736856005195213
6528;4.675;1.375;0.61613;-0.014659;0.6163043592097982;-1.3629273163506528
6529;4.725;1.325;0.61313;-0.014094;0.6132919677739144;-1.3168243748755062
6530;4.775;1.325;0.61319;-0.013869;0.6133468229810929;-1.29568274977404
6531;4.725;1.375;0.61639;-0.014439;0.6165590943461948;-1.3419141912920678
6532;4.775;1.375;0.61665;-0.014117;0.6168115694351072;-1.3114461378067848
6533;4.825;1.325;0.61323;-0.013567;0.6133800586822171;-1.2673956794965004
6534;4.875;1.325;0.61324;-0.013203;0.6133821132124738;-1.2333822394802767
6535;4.825;1.375;0.61687;-0.013709;0.6170223120609173;-1.2731022255247528
6536;4.875;1.375;0.61702;-0.013244;0.6171621212744671;-1.229634047508405
6537;4.925;1.325;0.6132;-0.012794;0.6133334545220894;-1.1952639621784344
6538;4.975;1.325;0.61312;-0.012355;0.613244470358274;-1.1544127790385819
6539;4.925;1.375;0.61711;-0.01275;0.6172416986886093;-1.183609517995237
6540;4.975;1.375;0.61714;-0.012248;0.6172615273156103;-1.1369650212422915
6541;5.025;1.325;0.613;-0.011899;0.6131154754212292;-1.1120340498587713
6542;5.075;1.325;0.61287;-0.011433;0.6129766311932291;-1.0687204056198425
6543;5.025;1.375;0.61712;-0.01175;0.6172318501989346;-1.09078311116918
6544;5.075;1.375;0.61708;-0.011258;0.6171826868634602;-1.0451875523445937
6545;5.125;1.325;0.61272;-0.010967;0.6128181406330919;-1.0254206227837501
6546;5.175;1.325;0.61257;-0.010505;0.6126600688187537;-0.9824724858381265
6547;5.125;1.375;0.61702;-0.01077;0.6171139872827386;-0.9999884739679588
6548;5.175;1.375;0.61695;-0.010283;0.6170356898826842;-0.9548876756791951
6549;5.225;1.325;0.61242;-0.01005;0.6125024562399729;-0.9401569235739045
6550;5.275;1.325;0.61228;-0.0096073;0.6123553695472017;-0.898955663172349
6551;5.225;1.375;0.6169;-0.0097947;0.6169777517448178;-0.9096252582712724
6552;5.275;1.375;0.61684;-0.0093101;0.6169102556790655;-0.8647119777906198
6553;5.325;1.325;0.61214;-0.0091871;0.6122089368887145;-0.859840134027964
6554;5.375;1.325;0.612;-0.0087995;0.6120632575153078;-0.8237573083627775
6555;5.325;1.375;0.61679;-0.0088405;0.6168533525403342;-0.8211687232624245
6556;5.375;1.375;0.61674;-0.0083981;0.6167971754828405;-0.7801439006462468
6557;5.425;1.325;0.61185;-0.0084509;0.6119083593241802;-0.7913215916582819
6558;5.475;1.325;0.6117;-0.0081491;0.611754278964038;-0.763252277069064
6559;5.425;1.375;0.61667;-0.0079924;0.6167217908893443;-0.7425448784801786
6560;5.475;1.375;0.61661;-0.0076316;0.6166572252220516;-0.7090967486008295
6561;5.525;1.325;0.61154;-0.007905;0.6115910893930682;-0.7405859192602291
6562;5.575;1.325;0.61137;-0.0077248;0.6114188003611273;-0.7239067771898384
6563;5.525;1.375;0.61654;-0.0073211;0.6165834656437115;-0.680326365778814
6564;5.575;1.375;0.61646;-0.0070635;0.6165004660438222;-0.6564757302106026
6565;5.625;1.325;0.6112;-0.0076004;0.6112472544561325;-0.7124482958626317
6566;5.675;1.325;0.61101;-0.0075174;0.6110562424218904;-0.7048879109731193
6567;5.625;1.375;0.61638;-0.006855;0.6164181173724537;-0.6371822200388616
6568;5.675;1.375;0.61629;-0.0066866;0.6163262729427977;-0.6216211966794749
6569;5.725;1.325;0.61081;-0.0074629;0.6108555892978389;-0.7000071998766015
6570;5.775;1.325;0.61062;-0.0074254;0.6106651463487662;-0.6967068095854079
6571;5.725;1.375;0.6162;-0.0065498;0.6162348090460649;-0.6089934507638364
6572;5.775;1.375;0.6161;-0.0064398;0.6161336551626116;-0.5988636980404474
6573;5.825;1.325;0.61044;-0.0074007;0.6104848597307635;-0.6945942314066518
6574;5.875;1.325;0.61026;-0.0073845;0.6103046767314257;-0.6932783320631318
6575;5.825;1.375;0.616;-0.0063528;0.6160327573009734;-0.5908696827644341
6576;5.875;1.375;0.6159;-0.0062836;0.6159320527695892;-0.5845287703513689
6577;5.925;1.325;0.6101;-0.0073703;0.610144516751638;-0.6921267709744585
6578;5.975;1.325;0.60995;-0.0073542;0.6099943333815815;-0.6907848269415906
6579;5.925;1.375;0.61581;-0.0062252;0.6158414643518574;-0.5791811396471089
6580;5.975;1.375;0.61572;-0.0061706;0.6157509193694801;-0.5741855087496044
6581;6.025;1.325;0.60981;-0.0073326;0.6098540834681359;-0.6889142297121232
6582;6.075;1.325;0.60968;-0.0073;0.6097237016879039;-0.6859979076164724
6583;6.025;1.375;0.61564;-0.0061119;0.6156703378607824;-0.568797626463681
6584;6.075;1.375;0.61557;-0.0060419;0.615599650304977;-0.5623475062265819
6585;6.125;1.325;0.60955;-0.0072524;0.6095931428467352;-0.6816705852632424
6586;6.175;1.325;0.60944;-0.0071889;0.6094823983374827;-0.6758245714542102
6587;6.125;1.375;0.61551;-0.0059572;0.6155388276395243;-0.5545186280589399
6588;6.175;1.375;0.61547;-0.0058596;0.6154978926139065;-0.545469651811757
6589;6.225;1.325;0.60933;-0.0071114;0.6093714966339991;-0.6686601814672564
6590;6.275;1.325;0.60924;-0.007022;0.609280465864449;-0.6603524871820852
6591;6.225;1.375;0.61544;-0.0057527;0.6154668855083025;-0.5355450277612099
6592;6.275;1.375;0.61542;-0.005637;0.6154458157864102;-0.5247916499113523
6593;6.325;1.325;0.60916;-0.00692;0.6091993040048552;-0.6508466418469564
6594;6.375;1.325;0.6091;-0.0068041;0.609138002243178;-0.640009848758404
6595;6.325;1.375;0.61542;-0.0055109;0.6154446737268996;-0.5130526665513042
6596;6.375;1.375;0.61543;-0.0053757;0.6154534775679557;-0.5004583606719244
6597;6.425;1.325;0.60906;-0.0066834;0.6090966683832378;-0.6286987224872933
6598;6.475;1.325;0.60905;-0.0065722;0.6090854589569841;-0.6182492523796255
6599;6.425;1.375;0.61548;-0.0052383;0.6155022909680272;-0.48762792514211367
6600;6.475;1.375;0.61555;-0.0051077;0.6155711909270041;-0.4754170037776437
6601;6.525;1.325;0.60905;-0.0064799;0.6090844700072479;-0.6095672175283529
6602;6.575;1.325;0.60907;-0.0064033;0.6091036587896103;-0.6023421756261867
6603;6.525;1.375;0.61563;-0.0049899;0.6156502221245518;-0.46439249148132566
6604;6.575;1.375;0.61573;-0.0048828;0.615749360239895;-0.45435169307019
6605;6.625;1.325;0.6091;-0.006331;0.6091329013942688;-0.5955122607098798
6606;6.675;1.325;0.60915;-0.006255;0.609182113595762;-0.5883156949654277
6607;6.625;1.375;0.61583;-0.0047791;0.6158485436345611;-0.44463043886609405
6608;6.675;1.375;0.61594;-0.0046751;0.6159577421869215;-0.4348773501040052
6609;6.725;1.325;0.60921;-0.006176;0.6092413044730307;-0.5808286347958875
6610;6.775;1.325;0.60928;-0.0061;0.609310535277374;-0.573615707128895
6611;6.725;1.375;0.61605;-0.0045699;0.616066949678369;-0.425016119162771
6612;6.775;1.375;0.61616;-0.004467;0.6161761920822648;-0.41537224626906144
6613;6.825;1.325;0.60936;-0.0060305;0.6093898395364415;-0.5670062342511168
6614;6.875;1.325;0.60944;-0.0059681;0.6094692213866176;-0.5610659156714392
6615;6.825;1.375;0.61627;-0.0043669;0.6162854717706803;-0.4059921007806037
6616;6.875;1.375;0.61637;-0.0042674;0.6163847723644379;-0.39667748741985503
6617;6.925;1.325;0.60951;-0.0059103;0.6095386548415859;-0.5555686248278869
6618;6.975;1.325;0.60957;-0.0058547;0.6095981154925677;-0.5502883769081808
6619;6.925;1.375;0.61646;-0.0041669;0.6164740827120067;-0.3872792195676733
6620;6.975;1.375;0.61653;-0.0040656;0.6165434048007975;-0.3778215898259648
6621;7.025;1.325;0.60962;-0.005794;0.6096475332813215;-0.5445388130643556
6622;7.075;1.325;0.60963;-0.0057199;0.6096568331086022;-0.5375662498049858
6623;7.025;1.375;0.61658;-0.0039605;0.6165927196782736;-0.36802493430082256
6624;7.075;1.375;0.61661;-0.0038472;0.6166220017545919;-0.3574795457259311
6625;7.125;1.325;0.60963;-0.0056289;0.6096559861226739;-0.5290143999236947
6626;7.175;1.325;0.60959;-0.00552;0.6096149920236542;-0.5188143814309595
6627;7.125;1.375;0.61661;-0.0037221;0.6166212339259896;-0.34585561492077
6628;7.175;1.375;0.61658;-0.0035838;0.6165904151237189;-0.3330213472941024
6629;7.225;1.325;0.60954;-0.0053905;0.6095638351233199;-0.5066851202669999
6630;7.275;1.325;0.60946;-0.0052382;0.6094825102816651;-0.49243488064179614
6631;7.225;1.375;0.61654;-0.0034311;0.6165495471145932;-0.3188528232914156
6632;7.275;1.375;0.61647;-0.0032634;0.6164786376506164;-0.30330316205597263
6633;7.325;1.325;0.60936;-0.0050637;0.6093810389712581;-0.4761092963571819
6634;7.375;1.325;0.60926;-0.0048726;0.6092794841702451;-0.45821728535063017
6635;7.325;1.375;0.61639;-0.0030838;0.6163977140795057;-0.286648470465664
6636;7.375;1.375;0.6163;-0.0028948;0.6163067984916603;-0.2691199136707124
6637;7.425;1.325;0.60915;-0.0046682;0.6091678870321711;-0.43907563340410205
6638;7.475;1.325;0.60904;-0.0044553;0.6090562956723212;-0.4191273695660597
6639;7.425;1.375;0.61621;-0.0026988;0.6162159099061303;-0.250935332241796
6640;7.475;1.375;0.61612;-0.0024976;0.6161250623093983;-0.23226182408937507
6641;7.525;1.325;0.60892;-0.0042408;0.6089347672654601;-0.39902780890078904
6642;7.575;1.325;0.60881;-0.004029;0.6088233314689903;-0.379168091438872
6643;7.525;1.375;0.61603;-0.0022947;0.6160342738420403;-0.21342469872112954
6644;7.575;1.375;0.61594;-0.002094;0.6159435594565463;-0.19478666765815478
6645;7.625;1.325;0.6087;-0.003824;0.6087120115259761;-0.35994115091988377
6646;7.675;1.325;0.60861;-0.003632;0.6086208372410528;-0.3419197858752804
6647;7.625;1.375;0.61587;-0.0019029;0.6158729397598258;-0.17703052898177893
6648;7.675;1.375;0.6158;-0.0017272;0.6158024222263502;-0.16070316802327225
6649;7.725;1.325;0.60853;-0.0034559;0.6085398131139902;-0.32538470696420124
6650;7.775;1.325;0.60848;-0.0032971;0.6084889327411058;-0.3104589564168102
6651;7.725;1.375;0.61574;-0.001571;0.6157420041226682;-0.14618422434955503
6652;7.775;1.375;0.61569;-0.0014329;0.6156916673972532;-0.13334466084982413
6653;7.825;1.325;0.60844;-0.0031548;0.6084481788641001;-0.2970795893753517
6654;7.875;1.325;0.60842;-0.0030304;0.6084275468156911;-0.28537473202179636
6655;7.825;1.375;0.61565;-0.0013108;0.6156513954314081;-0.12199008251424533
6656;7.875;1.375;0.61562;-0.0012022;0.6156211738438176;-0.111888662763972
6657;7.925;1.325;0.60841;-0.0029236;0.6084170243648348;-0.27532198957426046
6658;7.975;1.325;0.6084;-0.0028338;0.6084065995881702;-0.26686983206871484
6659;7.925;1.375;0.61559;-0.0011071;0.6155909955241466;-0.10304275428651717
6660;7.975;1.375;0.61555;-0.001021;0.6155508467551646;-0.09503523228843096
6661;8.025;1.325;0.6084;-0.0027573;0.6084062480804171;-0.25966563320833924
6662;8.075;1.325;0.6084;-0.0026906;0.6084059494518114;-0.2533843184741922
6663;8.025;1.375;0.61551;-0.00094276;0.6155107219995584;-0.08775832537696171
6664;8.075;1.375;0.61547;-0.00087212;0.6154706178960084;-0.08118797306957959
6665;8.125;1.325;0.60839;-0.0026303;0.608395685864134;-0.24770977480038048
6666;8.175;1.325;0.60839;-0.0025751;0.6083954497200074;-0.24251135085240422
6667;8.125;1.375;0.61541;-0.00081173;0.6154105353384787;-0.07557348130930613
6668;8.175;1.375;0.61535;-0.00076422;0.6153504745526799;-0.0711571595150855
6669;8.225;1.325;0.6084;-0.0025253;0.6084052408880861;-0.2378175560286456
6670;8.275;1.325;0.60841;-0.0024811;0.6084150589500641;-0.23365127221782667
